anchor,positive,negative
top/1677230595893215488.npy,top/1677230595964323072.npy,top/1677230596258654464.npy
top/1677230595893215488.npy,inner/1677234306688783360.npy,inner/1677234306118122496.npy
top/1677230595893215488.npy,inner/1677234306579871744.npy,inner/1677234306776992768.npy
top/1677230595893215488.npy,top/1677230596035430656.npy,top/1677230596118239488.npy
top/1677230595893215488.npy,inner/1677234306487161856.npy,top/1677230596329762048.npy
top/1677230613275869440.npy,inner/1677234281822731264.npy,inner/1677234281541901312.npy
top/1677230613275869440.npy,top/1677230613393782016.npy,inner/1677234281333979136.npy
top/1677230613275869440.npy,top/1677230613337075968.npy,inner/1677234282141365248.npy
top/1677230613275869440.npy,inner/1677234281618409472.npy,inner/1677234281407787008.npy
top/1677230613275869440.npy,inner/1677234281744422912.npy,inner/1677234281943344128.npy
top/1677230613275869440.npy,inner/1677234281680516096.npy,top/1677230613671011584.npy
top/1677230613275869440.npy,inner/1677234281883037696.npy,top/1677230613462189312.npy
top/1677230624814200064.npy,inner/1677234269898259456.npy,inner/1677234270347407360.npy
top/1677230624814200064.npy,inner/1677234270148486144.npy,top/1677230625129233664.npy
top/1677230624814200064.npy,top/1677230624930312448.npy,inner/1677234269580525568.npy
top/1677230624814200064.npy,inner/1677234345171487744.npy,inner/1677234345641337856.npy
top/1677230624814200064.npy,inner/1677234270090880000.npy,top/1677230625192240384.npy
top/1677230624814200064.npy,inner/1677234269957665792.npy,inner/1677234344959965184.npy
top/1677230624814200064.npy,inner/1677234345103080448.npy,inner/1677234269638131712.npy
top/1677230624814200064.npy,inner/1677234270031473664.npy,inner/1677234269710139392.npy
top/1677230624814200064.npy,inner/1677234345238094848.npy,inner/1677234345579231232.npy
top/1677230624814200064.npy,inner/1677234345311002624.npy,inner/1677234345519824896.npy
top/1677230574246806784.npy,top/1677230576973197568.npy,top/1677230579126227200.npy
top/1677230574246806784.npy,inner/1677234256810863616.npy,inner/1677234265639005184.npy
top/1677230574246806784.npy,top/1677230575598750976.npy,top/1677230579208135936.npy
top/1677230574246806784.npy,top/1677230577029003520.npy,inner/1677234265964839936.npy
top/1677230574246806784.npy,top/1677230576336829696.npy,inner/1677234266027846656.npy
top/1677230574246806784.npy,inner/1677234259842386944.npy,top/1677230628840329472.npy
top/1677230574246806784.npy,inner/1677234258538147840.npy,inner/1677234340872629248.npy
top/1677230574246806784.npy,inner/1677234261929709568.npy,inner/1677234340022038528.npy
top/1677230574246806784.npy,inner/1677234260775786496.npy,top/1677230628759320832.npy
top/1677230574246806784.npy,top/1677230578065914112.npy,top/1677230579290044672.npy
top/1677230610338856192.npy,inner/1677234321189329920.npy,inner/1677234320804988928.npy
top/1677230610338856192.npy,inner/1677234320897698816.npy,inner/1677234284681436160.npy
top/1677230610338856192.npy,top/1677230610489172224.npy,inner/1677234284346600448.npy
top/1677230610338856192.npy,top/1677230610415364352.npy,inner/1677234321282939904.npy
top/1677230610338856192.npy,inner/1677234321095719936.npy,top/1677230610627787008.npy
top/1677230610338856192.npy,inner/1677234320998509568.npy,top/1677230610797005056.npy
top/1677230599445894400.npy,inner/1677234310293667840.npy,inner/1677234310481787904.npy
top/1677230599445894400.npy,top/1677230599521502464.npy,top/1677230599898642688.npy
top/1677230599445894400.npy,inner/1677234310013737984.npy,inner/1677234309642898432.npy
top/1677230599445894400.npy,inner/1677234310109148160.npy,top/1677230599968850176.npy
top/1677230599445894400.npy,inner/1677234310201858048.npy,top/1677230599674518784.npy
top/1677230599445894400.npy,top/1677230599598010624.npy,top/1677230599754627328.npy
top/1677230593285637376.npy,top/1677230593374746880.npy,inner/1677234304456545280.npy
top/1677230593285637376.npy,inner/1677234304059602944.npy,inner/1677234303864282112.npy
top/1677230593285637376.npy,top/1677230593462956288.npy,inner/1677234303498843136.npy
top/1677230593285637376.npy,inner/1677234304151412736.npy,top/1677230593907603712.npy
top/1677230593285637376.npy,inner/1677234303960592384.npy,top/1677230593553865984.npy
top/1677230593285637376.npy,inner/1677234304241422336.npy,inner/1677234304668067840.npy
top/1677230603554832640.npy,top/1677230603632240896.npy,top/1677230603870766336.npy
top/1677230603554832640.npy,inner/1677234314087572480.npy,top/1677230604021982464.npy
top/1677230603554832640.npy,top/1677230603707848960.npy,inner/1677234314729340928.npy
top/1677230603554832640.npy,inner/1677234314365702144.npy,inner/1677234314548421632.npy
top/1677230603554832640.npy,inner/1677234314182982656.npy,inner/1677234314639331328.npy
top/1677230603554832640.npy,inner/1677234314274792448.npy,inner/1677234313895852032.npy
top/1677230623923105024.npy,inner/1677234346155292672.npy,inner/1677234345770951680.npy
top/1677230623923105024.npy,inner/1677234270862262272.npy,inner/1677234270738949120.npy
top/1677230623923105024.npy,inner/1677234271053982720.npy,inner/1677234270538227712.npy
top/1677230623923105024.npy,top/1677230623971710208.npy,inner/1677234270673242112.npy
